mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
1	1	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0			
1	1	0	0	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	1			
2	2	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	2			
2	2	2	2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	3			
2	2	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	4			
2	2	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	5			
2	2	1	1	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6	
2	2	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	6			
2	2	2	2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	7			
2	2	5/2	5/2	0.0	3/8	3/8	FiguredBass	4/4	2	1	0				1/8	_	
2	2	5/2	5/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	8			
2	2	3	3	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	
2	2	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	9			
2	2	4	4	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6	
2	2	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	10			
3	3	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	11			
3	3	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	12			
3	3	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	13			
3	3	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	14			
3	3	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	15			
3	3	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	16			
3	3	7	7	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	
3	3	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	17			
3	3	8	8	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	7	#
3	3	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	18			
4	4	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	19			
4	4	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	20			
4	4	11	11	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	21			
4	4	9	9	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	9	
4	4	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	22			
4	4	10	10	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	8	
4	4	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	23			
4	4	11	11	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	#	
