piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
A-MCAU_RE1755-001_SID080	1: 4/4	1: 0	10	10	40.0	15	15	60.0	72.0	70	36	0	0	0	Rein, Johann Balthasar	Ach! ach! wie drücken meine Sünden								2021-04-07	Microsoft Windows			Ach! ach! wie drücken meine Sünden		Rein, Johann Balthasar	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-001_SID080.mscx	False	40-76 (E2-E5)	Piano	64-76 (E4-E5)	Piano	40-57 (E2-A3)
A-MCAU_RE1755-002	1: 3/4	1: 2	14	13	36.0	19	17	48.0	72.0	73	40	0	0	0	Rein, Johann Balthasar	Ach, alles was Himmel und Erden umschließet								2022-06-22	Microsoft Windows			Ach, alles was Himmel und Erden umschließet	RE1755-002	Rein, Johann Balthasar	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-002.mscx	False	43-76 (G2-E5)	Piano	62-76 (D4-E5)	Piano	43-57 (G2-A3)
A-MCAU_RE1755-003	1: 4/4	1: -2	13	13	52.0	13	13	52.0	90.0	82	42	0	0	0	Rein, Johann Balthasar	Ach, böeob bey uns Herr Jesu Christ								2022-06-22	Microsoft Windows			Ach, bleib bey uns Herr Jesu Christ	RE1755-003	Rein, Johann Balthasar	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-003.mscx	False	41-77 (F2-F5)	Piano	65-77 (F4-F5)	Piano	41-55 (F2-G3)
A-MCAU_RE1755-004_SID046	1: 4/4	1: -2	16	16	64.0	16	16	64.0	112.0	99	52	0	0	0	Rein	"Ach, daß ein jeder nahm in acht
"								2021-03-01	Microsoft Windows			"Ach, daß ein jeder nahm in acht
"		Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-004_SID046.mscx	False	41-74 (F2-D5)	Piano	65-74 (F4-D5)	Piano	41-55 (F2-G3)
A-MCAU_RE1755-005_SID097	1: 4/4	1: -2	14	14	56.0	19	19	76.0	108.0	96	52	0	0	0	Rein, Johann Balthasar	Ach, ein Wort von großer Treue								2022-04-06	Microsoft Windows			Ach, ein Wort von großer Treue	RE1755-005	Rein, Johann Balthasar	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-005_SID097.mscx	False	43-75 (G2-Eb5)	Piano	65-75 (F4-Eb5)	Piano	43-58 (G2-Bb3)
A-MCAU_RE1755-006_SID069	1: 4/4	1: -1	15	15	60.0	15	15	60.0	108.0	105	56	0	0	0	Rein, Johann Balthasar	Ach, freundlichster Herr Jesu Christ								2021-04-07	Microsoft Windows			Ach, freundlichster Herr Jesu Christ		Rein, Johann Balthasar	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-006_SID069.mscx	False	40-77 (E2-F5)	Piano	62-77 (D4-F5)	Piano	40-57 (E2-A3)
A-MCAU_RE1755-007_SID037	1: 4/4	1: -2	13	13	52.0	18	18	72.0	90.0	83	45	0	0	0	Rein	"Ach Gott! es hat mich ganz verderbt
"								2021-03-03	Microsoft Windows			"Ach Gott! es hat mich ganz verderbt
"		Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-007_SID037.mscx	False	38-74 (D2-D5)	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
A-MCAU_RE1755-008_SID096	1: 4/4	1: 0	23	23	92.0	33	33	132.0	166.0	155	83	0	0	0	Rein, Johann Balthasar	Ach Gott! ich dencke nun daran								2022-04-06	Microsoft Windows			Ach Gott! ich dencke nun daran	RE1755-008	Rein, Johann Balthasar	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-008_SID096.mscx	False	40-76 (E2-E5)	Piano	60-76 (C4-E5)	Piano	40-57 (E2-A3)
A-MCAU_RE1755-009_SID036	1: 4/4	1: -2	10	10	40.0	10	10	40.0	72.0	70	38	0	0	0	Rein	"Ach Gott! in was für Freudigkeit
"								2021-03-03	Microsoft Windows			"Ach Gott! in was für Freudigkeit
"		Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-009_SID036.mscx	False	41-75 (F2-Eb5)	Piano	65-75 (F4-Eb5)	Piano	41-58 (F2-Bb3)
A-MCAU_RE1755-010_SID011	1: 4/4	1: -1	14	14	56.0	19	19	76.0	98.0	97	51	0	0	0	Rein	"Ach Gott! mich drückt ein schwerer Stein
"								2021-02-21	Microsoft Windows			"Ach Gott! mich drückt ein schwerer Stein
"	TR011; RE1755-010	Rein	3.6.2	2.5.3	1755_VierstimmigChoralbuch/Analysis-MusiCAU	1755_VierstimmigChoralbuch/Analysis-MusiCAU/A-MCAU_RE1755-010_SID011.mscx	False	40-76 (E2-E5)	Piano	62-76 (D4-E5)	Piano	40-53 (E2-F3)
