mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	4/4	2	1	1/4	1/4	1		2	50	D3	3	4
1	1	0	0	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	0
1	1	1	1	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	50	D3	3	5
1	1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	1
1	1	2	2	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	6
1	1	2	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	2
1	1	3	3	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	7
1	1	3	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	3
2	2	4	4	1.0	0	0	4/4	2	1	1/4	1/4	1		5	47	B2	2	11
2	2	4	4	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	8
2	2	5	5	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	12
2	2	5	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	9
2	2	6	6	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	13
2	2	6	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		7	73	C#5	5	10
3	3	9	9	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		3	57	A3	3	17
3	3	9	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	14
3	3	19/2	19/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		1	55	G3	3	18
3	3	10	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		6	54	F#3	3	19
3	3	10	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	15
3	3	11	11	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	20
3	3	11	11	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	16
4	4	12	12	1.0	0	0	4/4	2	1	1/4	1/4	1		2	50	D3	3	25
4	4	12	12	1.0	0	0	4/4	1	1	1/4	1/4	1		6	66	F#4	4	21
4	4	13	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	43	G2	2	26
4	4	13	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	22
4	4	14	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	45	A2	2	27
4	4	14	14	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	23
4	4	15	15	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	24
5	5	16	16	2.0	0	0	4/4	2	1	1/2	1/2	1		2	50	D3	3	29
5	5	16	16	2.0	0	0	4/4	1	1	1/2	1/2	1		2	62	D4	4	28
6	6	20	20	1.0	0	0	4/4	2	1	1/4	1/4	1		5	47	B2	2	34
6	6	20	20	1.0	0	0	4/4	1	1	1/4	1/4	1		2	62	D4	4	30
6	6	21	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	35
6	6	21	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	31
6	6	22	22	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	50	D3	3	36
6	6	22	22	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	32
6	6	23	23	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		3	45	A2	2	37
6	6	23	23	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	33
7	7	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		5	47	B2	2	41
7	7	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		2	62	D4	4	38
